concept_id,layer,metric,probe_score,probe_std,chance,lift_over_chance,p_value,n_permutations,majority_class_rate,n_samples
fazaa_001,19,balanced_accuracy,0.9,0.2,0.5,0.4,0.004975,200,0.6,20
fazaa_001,20,balanced_accuracy,0.866667,0.266667,0.5,0.366667,0.00995,200,0.6,20
fazaa_001,21,balanced_accuracy,0.816667,0.260342,0.5,0.316667,0.00995,200,0.6,20
fazaa_001,22,balanced_accuracy,0.816667,0.260342,0.5,0.316667,0.014925,200,0.6,20
fazaa_001,23,balanced_accuracy,0.766667,0.290593,0.5,0.266667,0.024876,200,0.6,20
hayaa_001,0,balanced_accuracy,0.683333,0.31798,0.5,0.183333,0.094527,200,0.6,20
hayaa_001,1,balanced_accuracy,0.683333,0.31798,0.5,0.183333,0.099502,200,0.6,20
hayaa_001,2,balanced_accuracy,0.8,0.187083,0.5,0.3,0.014925,200,0.6,20
hayaa_001,3,balanced_accuracy,0.8,0.187083,0.5,0.3,0.024876,200,0.6,20
hayaa_001,4,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
hayaa_001,5,balanced_accuracy,0.85,0.2,0.5,0.35,0.014925,200,0.6,20
hayaa_001,6,balanced_accuracy,0.9,0.122474,0.5,0.4,0.00995,200,0.6,20
hayaa_001,7,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
hayaa_001,8,balanced_accuracy,0.9,0.2,0.5,0.4,0.00995,200,0.6,20
hayaa_001,9,balanced_accuracy,0.9,0.2,0.5,0.4,0.00995,200,0.6,20
hayaa_001,10,balanced_accuracy,0.95,0.1,0.5,0.45,0.00995,200,0.6,20
hayaa_001,11,balanced_accuracy,0.95,0.1,0.5,0.45,0.00995,200,0.6,20
hayaa_001,12,balanced_accuracy,0.9,0.2,0.5,0.4,0.00995,200,0.6,20
hayaa_001,13,balanced_accuracy,0.95,0.1,0.5,0.45,0.00995,200,0.6,20
hayaa_001,14,balanced_accuracy,0.9,0.2,0.5,0.4,0.00995,200,0.6,20
hayaa_001,15,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
hayaa_001,16,balanced_accuracy,0.9,0.2,0.5,0.4,0.00995,200,0.6,20
hayaa_001,17,balanced_accuracy,0.816667,0.185592,0.5,0.316667,0.024876,200,0.6,20
hayaa_001,18,balanced_accuracy,0.85,0.2,0.5,0.35,0.014925,200,0.6,20
hayaa_001,19,balanced_accuracy,0.816667,0.185592,0.5,0.316667,0.039801,200,0.6,20
